date,code,ca,ratio
2023-04-04,BMRI,SS,2
2023-03-06,MIDI,SS,10
2023-01-31,SMDR,SS,5
2023-01-06,SKRN,SS,5
2022-12-02,BYAN,SS,10
2022-12-21,BEBS,SS,5
2022-08-23,TPIA,SS,4
2022-08-22,EKAD,SS,5
2022-07-28,JTPE,SS,4
2022-07-15,MLIA,SS,5
2022-06-22,PBSA,SS,2
2022-06-20,HOMI,SS,2
2022-06-02,HRUM,SS,5
2022-04-08,SILO,SS,8
2022-01-12,AKRA,SS,5
2022-01-03,MTDL,SS,5
2021-12-08,AMOR,SS,2
2021-10-29,SCMA,SS,5
2021-10-13,BBCA,SS,5
2021-09-02,DIVA,SS,2
2021-07-30,HEAL,SS,5
2021-07-09,GOOD,SS,5
2021-05-18,SRTG,SS,5
2021-03-31,ERAA,SS,5
2021-02-18,HOKI,SS,4
2020-11-17,DIGI,SS,5
2020-09-14,SIDO,SS,2
2020-08-03,BELL,SS,5
2020-02-12,FAST,SS,2
2020-01-02,UNVR,SS,5
2019-11-14,TBIG,SS,5
2019-11-05,ANDI,SS,5
2019-10-18,MDKA,SS,5
2019-08-16,JSKY,SS,2
2019-08-06,BRPT,SS,5
2019-07-18,TMAS,SS,5
2019-07-04,PTSN,SS,3
2019-06-25,TAMU,SS,10
2019-06-11,CARS,SS,10
2019-05-31,TOBA,SS,4
2019-05-24,LPIN,SS,4
2019-04-04,ZINC,SS,5
2019-02-11,MARK,SS,5
2018-10-03,BCIC,RS,100000
2018-10-02,KPIG,SS,5
2018-08-28,MFIN,SS,2
2018-08-01,BUVA,SS,2
2018-07-17,MARI,SS,10
2018-07-13,IKAI,SS,2
2018-07-13,GEMA,SS,5
2018-07-09,TOPS,SS,5
2018-07-04,MINA,SS,5
2018-07-04,IBFN,RS,5
2018-07-03,CLEO,SS,5
2018-06-28,TOWR,SS,5
2018-06-25,BLTZ,SS,2
2018-06-04,MAPI,SS,10
2018-05-31,BNBR,RS,10
2018-04-24,GMCW,SS,8
2017-12-14,PTBA,SS,5
2017-11-21,TPIA,SS,5
2017-11-15,MKNT,SS,5
2017-11-10,BBRI,SS,5
2017-10-27,ESSA,SS,10
2017-10-23,INAI,SS,2
2017-09-13,BMRI,SS,2
2017-09-11,MEDC,SS,4
2017-08-15,BTEK,SS,8
2017-08-10,ULTJ,SS,4
2017-08-04,SMDR,SS,20
2017-07-26,ENRG,RS,8
2017-07-12,BRPT,SS,2
2017-07-03,VOKS,SS,5
2017-06-16,MDIA,SS,10
2017-06-14,INTD,SS,5
2017-06-05,BFIN,SS,10
2017-06-02,SAME,SS,5
2017-05-19,IIKP,SS,10
2017-05-18,LPIN,SS,5
2017-03-27,KKGI,SS,5
2017-03-15,UNSP,RS,10
2017-02-16,PPRO,SS,4
2017-01-25,PSKT,SS,5
2016-11-02,SMSM,SS,4
2016-10-20,TOTO,SS,10
2016-09-21,IKBI,SS,4
2016-09-13,ITMA,SS,20
2016-08-29,BIMA,SS,2
2016-08-23,KICI,SS,2
2016-08-15,MYRX,SS,5
2016-08-12,CNTX,SS,20
2016-08-05,ASMI,SS,5
2016-08-04,MYOR,SS,25
2016-08-02,AIMS,SS,2
2016-08-01,BTON,SS,4
2016-07-27,ICBP,SS,2
2016-07-26,ASBI,SS,2
2016-07-14,PADI,SS,4
2016-07-12,TBMS,SS,20
2016-06-29,ERTX,SS,8
2016-06-23,KREN,SS,5
2016-06-22,IMPC,SS,10
2016-06-17,PSAB,SS,5
2016-06-14,HMSP,SS,25
2016-06-07,RAJA,SS,4
2016-03-21,ALKA,SS,5
2016-02-22,KONI,SS,2
2016-01-27,TIRA,SS,10
2015-12-21,MERK,SS,20
2015-11-23,DEFI,SS,10
2015-11-03,DLTA,SS,50
2015-10-19,DSNG,SS,5
2015-10-16,MIKA,SS,10
2015-09-02,LION,SS,10
2015-09-02,LMSH,SS,10
2015-08-03,CEKA,SS,2
2015-07-31,ASJT,SS,2
2015-07-30,BALI,SS,5
2015-07-27,TRUS,SS,2
2015-07-14,GDYR,SS,10
2015-05-19,LEAD,SS,4
2015-03-09,BULL,RS,8
2015-02-05,SIPD,RS,10
2015-01-09,LTLS,SS,2
